tag,chosen,early_adaptive_ba,early_adaptive_f1,late_adaptive_ba,late_adaptive_f1,w0_ba,w0_f1,w05_ba,w05_f1
PD-252|partition|2,"[(0.6, 0.0), (0.0, 0.0), (0.4, 0.0), (0.1, 0.0), (0.0, 0.0)]",0.7272011890432944,0.7403540377750903,0.7269987598934968,0.7360365774576302,0.7269987598934968,0.7360365774576302,0.7275458657037605,0.7464265926603837
PD-252|partition|3,"[(0.1, 0.0), (0.3, 0.2), (0.0, 0.0), (0.2, 0.1), (0.0, 0.0)]",0.7151119743225006,0.7212855295116686,0.7151119743225006,0.7212855295116686,0.7124092716197978,0.7175821338082728,0.7105983513878251,0.7247852654637691
PD-252|partition|4,"[(0.4, 0.0), (0.2, 0.0), (0.0, 0.0), (0.1, 0.0), (0.1, 0.0)]",0.6965970018601598,0.6977150223254143,0.6859995623153518,0.6819815137555383,0.6859995623153518,0.6819815137555383,0.7179341284604442,0.7215396253919591
PD-252|partition|5,"[(0.0, 0.0), (0.0, 0.0), (0.5, 0.2), (0.5, 0.1), (0.1, 0.0)]",0.7471514024145604,0.7527608255059797,0.7447933763723238,0.7536675736618748,0.7342670605828501,0.7396619714209782,0.7217164532954007,0.7295062532473073
PD-252|partition|6,"[(0.0, 0.0), (0.1, 0.0), (0.0, 0.0), (0.4, 0.1), (0.2, 0.0)]",0.7258033336980705,0.7279189892697217,0.7280902359849728,0.7256736460134292,0.7280902359849728,0.7256736460134292,0.7368165736586789,0.7479498735581637
PD-252|partition|7,"[(0.4, 0.0), (0.0, 0.0), (0.1, 0.1), (0.3, 0.0), (0.1, 0.0)]",0.7341740525951053,0.7478661251029672,0.7572509756720283,0.7704099414070152,0.7519878177772914,0.7622945385547703,0.7422821607032133,0.7595143250423064
PD-252|partition|8,"[(0.4, 0.1), (0.2, 0.1), (0.5, 0.3), (0.0, 0.0), (0.2, 0.2)]",0.7284121165700114,0.7412704153951205,0.7181593536856695,0.7307923599587852,0.7255069847175111,0.7309636544664642,0.7157302038880987,0.7305108291302497
PD-252|partition|9,"[(0.0, 0.0), (0.0, 0.0), (0.5, 0.2), (0.0, 0.0), (0.3, 0.2)]",0.740089178247073,0.7472060526335942,0.740089178247073,0.7472060526335942,0.7373864755443703,0.7433693096664165,0.7558184702921545,0.7703498588456393
PD-252|partition|10,"[(0.0, 0.0), (0.6, 0.4), (0.1, 0.0), (0.0, 0.0), (0.3, 0.1)]",0.7245732574679943,0.7292960447589751,0.7116177918809499,0.7144352518874575,0.7140469416785207,0.7143383857905914,0.7070330451909399,0.7196042181997052
PD-252|partition|11,"[(0.0, 0.0), (0.1, 0.0), (0.4, 0.2), (0.0, 0.0), (0.3, 0.1)]",0.7028458620563883,0.716590046577527,0.7028458620563883,0.716590046577527,0.7079065908013277,0.7194513326232119,0.703048291206186,0.7214946885317275
PD-252|partition|12,"[(0.1, 0.1), (0.0, 0.2), (0.2, 0.2), (0.1, 0.0), (0.0, 0.0)]",0.7278531568005253,0.7378407664036953,0.7061257613889194,0.71919625302234,0.7278531568005253,0.7378407664036953,0.7094694897326477,0.7219097581797811
PD-252|partition|13,"[(0.5, 0.2), (0.0, 0.0), (0.0, 0.0), (0.1, 0.0), (0.0, 0.0)]",0.7107633949739213,0.7156256024677077,0.7261480103585367,0.7308565118844933,0.7235164314111683,0.7271905602185416,0.726837363679469,0.7397926721418377
PD-252|partition|14,"[(0.0, 0.0), (0.3, 0.0), (0.4, 0.2), (0.6, 0.3), (0.0, 0.0)]",0.7349646204909362,0.7457670986917823,0.7323330415435678,0.7419620956779186,0.7609092898566583,0.763084907180477,0.7402277783856731,0.7542709240210905
PD-252|partition|15,"[(0.1, 0.1), (0.1, 0.0), (0.1, 0.0), (0.0, 0.0), (0.4, 0.2)]",0.7286446365393735,0.7303549179516958,0.7286446365393735,0.7304023401084297,0.7282999598789073,0.7244984155407386,0.7264179158916001,0.7323789103674644
PD-252|partition|16,"[(0.4, 0.2), (0.3, 0.0), (0.0, 0.0), (0.3, 0.2), (0.1, 0.1)]",0.7181593536856694,0.7246752653876685,0.715527774738301,0.7203876660474376,0.7075619141408616,0.7084494935084148,0.7157302038880986,0.7256889955094715
PD-252|partition|17,"[(0.0, 0.0), (0.3, 0.2), (0.4, 0.2), (0.0, 0.0), (0.1, 0.1)]",0.7353320932268301,0.7433016326848163,0.7219380311485575,0.7323180241370775,0.7223766276397855,0.7293608157599385,0.7202210307473466,0.7322940104166953
PD-252|partition|18,"[(0.0, 0.1), (0.0, 0.0), (0.1, 0.1), (0.0, 0.0), (0.4, 0.0)]",0.7399542254805412,0.7499821519043487,0.7372515227778386,0.7463044794623742,0.7372515227778386,0.7463044794623742,0.7161651530072582,0.7272031632313383
PD-252|partition|19,"[(0.1, 0.1), (0.0, 0.0), (0.1, 0.2), (0.0, 0.0), (0.1, 0.0)]",0.7593983659773132,0.7642205620466489,0.7672931028194185,0.7764970619676179,0.7670906736696211,0.7716194964455834,0.7462067330488382,0.7607403707403707
