column,family
det_LT_entropy_log_6_coef,Wavelet
det_LT_entropy_log_7_coef,Wavelet
det_LT_entropy_log_8_coef,Wavelet
det_LT_entropy_log_9_coef,Wavelet
det_LT_entropy_log_10_coef,Wavelet
det_LT_TKEO_mean_1_coef,Wavelet
det_LT_TKEO_mean_2_coef,Wavelet
det_LT_TKEO_mean_3_coef,Wavelet
det_LT_TKEO_mean_4_coef,Wavelet
det_LT_TKEO_mean_5_coef,Wavelet
det_LT_TKEO_mean_6_coef,Wavelet
det_LT_TKEO_mean_7_coef,Wavelet
det_LT_TKEO_mean_8_coef,Wavelet
det_LT_TKEO_mean_9_coef,Wavelet
det_LT_TKEO_mean_10_coef,Wavelet
det_LT_TKEO_std_1_coef,Wavelet
det_LT_TKEO_std_2_coef,Wavelet
det_LT_TKEO_std_3_coef,Wavelet
det_LT_TKEO_std_4_coef,Wavelet
det_LT_TKEO_std_5_coef,Wavelet
det_LT_TKEO_std_6_coef,Wavelet
det_LT_TKEO_std_7_coef,Wavelet
det_LT_TKEO_std_8_coef,Wavelet
det_LT_TKEO_std_9_coef,Wavelet
det_LT_TKEO_std_10_coef,Wavelet
app_LT_entropy_shannon_1_coef,Wavelet
app_LT_entropy_shannon_2_coef,Wavelet
app_LT_entropy_shannon_3_coef,Wavelet
app_LT_entropy_shannon_4_coef,Wavelet
app_LT_entropy_shannon_5_coef,Wavelet
app_LT_entropy_shannon_6_coef,Wavelet
app_LT_entropy_shannon_7_coef,Wavelet
app_LT_entropy_shannon_8_coef,Wavelet
app_LT_entropy_shannon_9_coef,Wavelet
app_LT_entropy_shannon_10_coef,Wavelet
app_LT_entropy_log_1_coef,Wavelet
app_LT_entropy_log_2_coef,Wavelet
app_LT_entropy_log_3_coef,Wavelet
app_LT_entropy_log_4_coef,Wavelet
app_LT_entropy_log_5_coef,Wavelet
app_LT_entropy_log_6_coef,Wavelet
app_LT_entropy_log_7_coef,Wavelet
app_LT_entropy_log_8_coef,Wavelet
app_LT_entropy_log_9_coef,Wavelet
app_LT_entropy_log_10_coef,Wavelet
app_LT_TKEO_mean_1_coef,Wavelet
app_LT_TKEO_mean_2_coef,Wavelet
app_LT_TKEO_mean_3_coef,Wavelet
app_LT_TKEO_mean_4_coef,Wavelet
app_LT_TKEO_mean_5_coef,Wavelet
app_LT_TKEO_mean_6_coef,Wavelet
app_LT_TKEO_mean_7_coef,Wavelet
app_LT_TKEO_mean_8_coef,Wavelet
app_LT_TKEO_mean_9_coef,Wavelet
app_LT_TKEO_mean_10_coef,Wavelet
app_LT_TKEO_std_1_coef,Wavelet
app_LT_TKEO_std_2_coef,Wavelet
app_LT_TKEO_std_3_coef,Wavelet
app_LT_TKEO_std_4_coef,Wavelet
app_LT_TKEO_std_5_coef,Wavelet
app_LT_TKEO_std_6_coef,Wavelet
app_LT_TKEO_std_7_coef,Wavelet
app_LT_TKEO_std_8_coef,Wavelet
app_LT_TKEO_std_9_coef,Wavelet
app_LT_TKEO_std_10_coef,Wavelet
tqwt_energy_dec_1,TQWT
tqwt_energy_dec_2,TQWT
tqwt_energy_dec_3,TQWT
tqwt_energy_dec_4,TQWT
tqwt_energy_dec_5,TQWT
tqwt_energy_dec_6,TQWT
tqwt_energy_dec_7,TQWT
tqwt_energy_dec_8,TQWT
tqwt_energy_dec_9,TQWT
tqwt_energy_dec_10,TQWT
tqwt_energy_dec_11,TQWT
tqwt_energy_dec_12,TQWT
tqwt_energy_dec_13,TQWT
tqwt_energy_dec_14,TQWT
tqwt_energy_dec_15,TQWT
tqwt_energy_dec_16,TQWT
tqwt_energy_dec_17,TQWT
tqwt_energy_dec_18,TQWT
tqwt_energy_dec_19,TQWT
tqwt_energy_dec_20,TQWT
tqwt_energy_dec_21,TQWT
tqwt_energy_dec_22,TQWT
tqwt_energy_dec_23,TQWT
tqwt_energy_dec_24,TQWT
tqwt_energy_dec_25,TQWT
tqwt_energy_dec_26,TQWT
tqwt_energy_dec_27,TQWT
tqwt_energy_dec_28,TQWT
tqwt_energy_dec_29,TQWT
tqwt_energy_dec_30,TQWT
tqwt_energy_dec_31,TQWT
tqwt_energy_dec_32,TQWT
tqwt_energy_dec_33,TQWT
tqwt_energy_dec_34,TQWT
tqwt_energy_dec_35,TQWT
tqwt_energy_dec_36,TQWT
tqwt_entropy_shannon_dec_1,TQWT
tqwt_entropy_shannon_dec_2,TQWT
tqwt_entropy_shannon_dec_3,TQWT
tqwt_entropy_shannon_dec_4,TQWT
tqwt_entropy_shannon_dec_5,TQWT
tqwt_entropy_shannon_dec_6,TQWT
tqwt_entropy_shannon_dec_7,TQWT
tqwt_entropy_shannon_dec_8,TQWT
tqwt_entropy_shannon_dec_9,TQWT
tqwt_entropy_shannon_dec_10,TQWT
tqwt_entropy_shannon_dec_11,TQWT
tqwt_entropy_shannon_dec_12,TQWT
tqwt_entropy_shannon_dec_13,TQWT
tqwt_entropy_shannon_dec_14,TQWT
tqwt_entropy_shannon_dec_15,TQWT
tqwt_entropy_shannon_dec_16,TQWT
tqwt_entropy_shannon_dec_17,TQWT
tqwt_entropy_shannon_dec_18,TQWT
tqwt_entropy_shannon_dec_19,TQWT
tqwt_entropy_shannon_dec_20,TQWT
tqwt_entropy_shannon_dec_21,TQWT
tqwt_entropy_shannon_dec_22,TQWT
tqwt_entropy_shannon_dec_23,TQWT
tqwt_entropy_shannon_dec_24,TQWT
tqwt_entropy_shannon_dec_25,TQWT
tqwt_entropy_shannon_dec_26,TQWT
tqwt_entropy_shannon_dec_27,TQWT
tqwt_entropy_shannon_dec_28,TQWT
tqwt_entropy_shannon_dec_29,TQWT
tqwt_entropy_shannon_dec_30,TQWT
tqwt_entropy_shannon_dec_31,TQWT
tqwt_entropy_shannon_dec_32,TQWT
tqwt_entropy_shannon_dec_33,TQWT
tqwt_entropy_shannon_dec_34,TQWT
tqwt_entropy_shannon_dec_35,TQWT
tqwt_entropy_shannon_dec_36,TQWT
tqwt_entropy_log_dec_1,TQWT
tqwt_entropy_log_dec_2,TQWT
tqwt_entropy_log_dec_3,TQWT
tqwt_entropy_log_dec_4,TQWT
tqwt_entropy_log_dec_5,TQWT
tqwt_entropy_log_dec_6,TQWT
tqwt_entropy_log_dec_7,TQWT
tqwt_entropy_log_dec_8,TQWT
tqwt_entropy_log_dec_9,TQWT
tqwt_entropy_log_dec_10,TQWT
tqwt_entropy_log_dec_11,TQWT
tqwt_entropy_log_dec_12,TQWT
tqwt_entropy_log_dec_13,TQWT
tqwt_entropy_log_dec_14,TQWT
tqwt_entropy_log_dec_15,TQWT
tqwt_entropy_log_dec_16,TQWT
tqwt_entropy_log_dec_17,TQWT
tqwt_entropy_log_dec_18,TQWT
tqwt_entropy_log_dec_19,TQWT
tqwt_entropy_log_dec_20,TQWT
tqwt_entropy_log_dec_21,TQWT
tqwt_entropy_log_dec_22,TQWT
tqwt_entropy_log_dec_23,TQWT
tqwt_entropy_log_dec_24,TQWT
tqwt_entropy_log_dec_25,TQWT
tqwt_entropy_log_dec_26,TQWT
tqwt_entropy_log_dec_27,TQWT
tqwt_entropy_log_dec_28,TQWT
tqwt_entropy_log_dec_29,TQWT
tqwt_entropy_log_dec_30,TQWT
tqwt_entropy_log_dec_31,TQWT
tqwt_entropy_log_dec_32,TQWT
tqwt_entropy_log_dec_33,TQWT
tqwt_entropy_log_dec_34,TQWT
tqwt_entropy_log_dec_35,TQWT
tqwt_entropy_log_dec_36,TQWT
tqwt_TKEO_mean_dec_1,TQWT
tqwt_TKEO_mean_dec_2,TQWT
tqwt_TKEO_mean_dec_3,TQWT
tqwt_TKEO_mean_dec_4,TQWT
tqwt_TKEO_mean_dec_5,TQWT
tqwt_TKEO_mean_dec_6,TQWT
tqwt_TKEO_mean_dec_7,TQWT
tqwt_TKEO_mean_dec_8,TQWT
tqwt_TKEO_mean_dec_9,TQWT
tqwt_TKEO_mean_dec_10,TQWT
tqwt_TKEO_mean_dec_11,TQWT
tqwt_TKEO_mean_dec_12,TQWT
tqwt_TKEO_mean_dec_13,TQWT
tqwt_TKEO_mean_dec_14,TQWT
tqwt_TKEO_mean_dec_15,TQWT
tqwt_TKEO_mean_dec_16,TQWT
tqwt_TKEO_mean_dec_17,TQWT
tqwt_TKEO_mean_dec_18,TQWT
tqwt_TKEO_mean_dec_19,TQWT
tqwt_TKEO_mean_dec_20,TQWT
tqwt_TKEO_mean_dec_21,TQWT
tqwt_TKEO_mean_dec_22,TQWT
tqwt_TKEO_mean_dec_23,TQWT
tqwt_TKEO_mean_dec_24,TQWT
tqwt_TKEO_mean_dec_25,TQWT
tqwt_TKEO_mean_dec_26,TQWT
tqwt_TKEO_mean_dec_27,TQWT
tqwt_TKEO_mean_dec_28,TQWT
tqwt_TKEO_mean_dec_29,TQWT
tqwt_TKEO_mean_dec_30,TQWT
tqwt_TKEO_mean_dec_31,TQWT
tqwt_TKEO_mean_dec_32,TQWT
tqwt_TKEO_mean_dec_33,TQWT
tqwt_TKEO_mean_dec_34,TQWT
tqwt_TKEO_mean_dec_35,TQWT
tqwt_TKEO_mean_dec_36,TQWT
tqwt_TKEO_std_dec_1,TQWT
tqwt_TKEO_std_dec_2,TQWT
tqwt_TKEO_std_dec_3,TQWT
tqwt_TKEO_std_dec_4,TQWT
tqwt_TKEO_std_dec_5,TQWT
tqwt_TKEO_std_dec_6,TQWT
tqwt_TKEO_std_dec_7,TQWT
tqwt_TKEO_std_dec_8,TQWT
tqwt_TKEO_std_dec_9,TQWT
tqwt_TKEO_std_dec_10,TQWT
tqwt_TKEO_std_dec_11,TQWT
tqwt_TKEO_std_dec_12,TQWT
tqwt_TKEO_std_dec_13,TQWT
tqwt_TKEO_std_dec_14,TQWT
tqwt_TKEO_std_dec_15,TQWT
tqwt_TKEO_std_dec_16,TQWT
tqwt_TKEO_std_dec_17,TQWT
tqwt_TKEO_std_dec_18,TQWT
tqwt_TKEO_std_dec_19,TQWT
tqwt_TKEO_std_dec_20,TQWT
tqwt_TKEO_std_dec_21,TQWT
tqwt_TKEO_std_dec_22,TQWT
tqwt_TKEO_std_dec_23,TQWT
tqwt_TKEO_std_dec_24,TQWT
tqwt_TKEO_std_dec_25,TQWT
tqwt_TKEO_std_dec_26,TQWT
tqwt_TKEO_std_dec_27,TQWT
tqwt_TKEO_std_dec_28,TQWT
tqwt_TKEO_std_dec_29,TQWT
tqwt_TKEO_std_dec_30,TQWT
tqwt_TKEO_std_dec_31,TQWT
tqwt_TKEO_std_dec_32,TQWT
tqwt_TKEO_std_dec_33,TQWT
tqwt_TKEO_std_dec_34,TQWT
tqwt_TKEO_std_dec_35,TQWT
tqwt_TKEO_std_dec_36,TQWT
tqwt_medianValue_dec_1,TQWT
tqwt_medianValue_dec_2,TQWT
tqwt_medianValue_dec_3,TQWT
tqwt_medianValue_dec_4,TQWT
tqwt_medianValue_dec_5,TQWT
tqwt_medianValue_dec_6,TQWT
tqwt_medianValue_dec_7,TQWT
tqwt_medianValue_dec_8,TQWT
tqwt_medianValue_dec_9,TQWT
tqwt_medianValue_dec_10,TQWT
tqwt_medianValue_dec_11,TQWT
tqwt_medianValue_dec_12,TQWT
tqwt_medianValue_dec_13,TQWT
tqwt_medianValue_dec_14,TQWT
tqwt_medianValue_dec_15,TQWT
tqwt_medianValue_dec_16,TQWT
tqwt_medianValue_dec_17,TQWT
tqwt_medianValue_dec_18,TQWT
tqwt_medianValue_dec_19,TQWT
tqwt_medianValue_dec_20,TQWT
tqwt_medianValue_dec_21,TQWT
tqwt_medianValue_dec_22,TQWT
tqwt_medianValue_dec_23,TQWT
tqwt_medianValue_dec_24,TQWT
tqwt_medianValue_dec_25,TQWT
tqwt_medianValue_dec_26,TQWT
tqwt_medianValue_dec_27,TQWT
tqwt_medianValue_dec_28,TQWT
tqwt_medianValue_dec_29,TQWT
tqwt_medianValue_dec_30,TQWT
tqwt_medianValue_dec_31,TQWT
tqwt_medianValue_dec_32,TQWT
tqwt_medianValue_dec_33,TQWT
tqwt_medianValue_dec_34,TQWT
tqwt_medianValue_dec_35,TQWT
tqwt_medianValue_dec_36,TQWT
tqwt_meanValue_dec_1,TQWT
tqwt_meanValue_dec_2,TQWT
tqwt_meanValue_dec_3,TQWT
tqwt_meanValue_dec_4,TQWT
tqwt_meanValue_dec_5,TQWT
tqwt_meanValue_dec_6,TQWT
tqwt_meanValue_dec_7,TQWT
tqwt_meanValue_dec_8,TQWT
tqwt_meanValue_dec_9,TQWT
tqwt_meanValue_dec_10,TQWT
tqwt_meanValue_dec_11,TQWT
tqwt_meanValue_dec_12,TQWT
tqwt_meanValue_dec_13,TQWT
tqwt_meanValue_dec_14,TQWT
tqwt_meanValue_dec_15,TQWT
tqwt_meanValue_dec_16,TQWT
tqwt_meanValue_dec_17,TQWT
tqwt_meanValue_dec_18,TQWT
tqwt_meanValue_dec_19,TQWT
tqwt_meanValue_dec_20,TQWT
tqwt_meanValue_dec_21,TQWT
tqwt_meanValue_dec_22,TQWT
tqwt_meanValue_dec_23,TQWT
tqwt_meanValue_dec_24,TQWT
tqwt_meanValue_dec_25,TQWT
tqwt_meanValue_dec_26,TQWT
tqwt_meanValue_dec_27,TQWT
tqwt_meanValue_dec_28,TQWT
tqwt_meanValue_dec_29,TQWT
tqwt_meanValue_dec_30,TQWT
tqwt_meanValue_dec_31,TQWT
tqwt_meanValue_dec_32,TQWT
tqwt_meanValue_dec_33,TQWT
tqwt_meanValue_dec_34,TQWT
tqwt_meanValue_dec_35,TQWT
tqwt_meanValue_dec_36,TQWT
tqwt_stdValue_dec_1,TQWT
tqwt_stdValue_dec_2,TQWT
tqwt_stdValue_dec_3,TQWT
tqwt_stdValue_dec_4,TQWT
tqwt_stdValue_dec_5,TQWT
tqwt_stdValue_dec_6,TQWT
tqwt_stdValue_dec_7,TQWT
tqwt_stdValue_dec_8,TQWT
tqwt_stdValue_dec_9,TQWT
tqwt_stdValue_dec_10,TQWT
tqwt_stdValue_dec_11,TQWT
tqwt_stdValue_dec_12,TQWT
tqwt_stdValue_dec_13,TQWT
tqwt_stdValue_dec_14,TQWT
tqwt_stdValue_dec_15,TQWT
tqwt_stdValue_dec_16,TQWT
tqwt_stdValue_dec_17,TQWT
tqwt_stdValue_dec_18,TQWT
tqwt_stdValue_dec_19,TQWT
tqwt_stdValue_dec_20,TQWT
tqwt_stdValue_dec_21,TQWT
tqwt_stdValue_dec_22,TQWT
tqwt_stdValue_dec_23,TQWT
tqwt_stdValue_dec_24,TQWT
tqwt_stdValue_dec_25,TQWT
tqwt_stdValue_dec_26,TQWT
tqwt_stdValue_dec_27,TQWT
tqwt_stdValue_dec_28,TQWT
tqwt_stdValue_dec_29,TQWT
tqwt_stdValue_dec_30,TQWT
tqwt_stdValue_dec_31,TQWT
tqwt_stdValue_dec_32,TQWT
tqwt_stdValue_dec_33,TQWT
tqwt_stdValue_dec_34,TQWT
tqwt_stdValue_dec_35,TQWT
tqwt_stdValue_dec_36,TQWT
tqwt_minValue_dec_1,TQWT
tqwt_minValue_dec_2,TQWT
tqwt_minValue_dec_3,TQWT
tqwt_minValue_dec_4,TQWT
tqwt_minValue_dec_5,TQWT
tqwt_minValue_dec_6,TQWT
tqwt_minValue_dec_7,TQWT
tqwt_minValue_dec_8,TQWT
tqwt_minValue_dec_9,TQWT
tqwt_minValue_dec_10,TQWT
tqwt_minValue_dec_11,TQWT
tqwt_minValue_dec_12,TQWT
tqwt_minValue_dec_13,TQWT
tqwt_minValue_dec_14,TQWT
tqwt_minValue_dec_15,TQWT
tqwt_minValue_dec_16,TQWT
tqwt_minValue_dec_17,TQWT
tqwt_minValue_dec_18,TQWT
tqwt_minValue_dec_19,TQWT
tqwt_minValue_dec_20,TQWT
tqwt_minValue_dec_21,TQWT
tqwt_minValue_dec_22,TQWT
tqwt_minValue_dec_23,TQWT
tqwt_minValue_dec_24,TQWT
tqwt_minValue_dec_25,TQWT
tqwt_minValue_dec_26,TQWT
tqwt_minValue_dec_27,TQWT
tqwt_minValue_dec_28,TQWT
tqwt_minValue_dec_29,TQWT
tqwt_minValue_dec_30,TQWT
tqwt_minValue_dec_31,TQWT
tqwt_minValue_dec_32,TQWT
tqwt_minValue_dec_33,TQWT
tqwt_minValue_dec_34,TQWT
tqwt_minValue_dec_35,TQWT
tqwt_minValue_dec_36,TQWT
tqwt_maxValue_dec_1,TQWT
tqwt_maxValue_dec_2,TQWT
tqwt_maxValue_dec_3,TQWT
tqwt_maxValue_dec_4,TQWT
tqwt_maxValue_dec_5,TQWT
tqwt_maxValue_dec_6,TQWT
tqwt_maxValue_dec_7,TQWT
tqwt_maxValue_dec_8,TQWT
tqwt_maxValue_dec_9,TQWT
tqwt_maxValue_dec_10,TQWT
tqwt_maxValue_dec_11,TQWT
tqwt_maxValue_dec_12,TQWT
tqwt_maxValue_dec_13,TQWT
tqwt_maxValue_dec_14,TQWT
tqwt_maxValue_dec_15,TQWT
tqwt_maxValue_dec_16,TQWT
tqwt_maxValue_dec_17,TQWT
tqwt_maxValue_dec_18,TQWT
tqwt_maxValue_dec_19,TQWT
tqwt_maxValue_dec_20,TQWT
tqwt_maxValue_dec_21,TQWT
tqwt_maxValue_dec_22,TQWT
tqwt_maxValue_dec_23,TQWT
tqwt_maxValue_dec_24,TQWT
tqwt_maxValue_dec_25,TQWT
tqwt_maxValue_dec_26,TQWT
tqwt_maxValue_dec_27,TQWT
tqwt_maxValue_dec_28,TQWT
tqwt_maxValue_dec_29,TQWT
tqwt_maxValue_dec_30,TQWT
tqwt_maxValue_dec_31,TQWT
tqwt_maxValue_dec_32,TQWT
tqwt_maxValue_dec_33,TQWT
tqwt_maxValue_dec_34,TQWT
tqwt_maxValue_dec_35,TQWT
tqwt_maxValue_dec_36,TQWT
tqwt_skewnessValue_dec_1,TQWT
tqwt_skewnessValue_dec_2,TQWT
tqwt_skewnessValue_dec_3,TQWT
tqwt_skewnessValue_dec_4,TQWT
tqwt_skewnessValue_dec_5,TQWT
tqwt_skewnessValue_dec_6,TQWT
tqwt_skewnessValue_dec_7,TQWT
tqwt_skewnessValue_dec_8,TQWT
tqwt_skewnessValue_dec_9,TQWT
tqwt_skewnessValue_dec_10,TQWT
tqwt_skewnessValue_dec_11,TQWT
tqwt_skewnessValue_dec_12,TQWT
tqwt_skewnessValue_dec_13,TQWT
tqwt_skewnessValue_dec_14,TQWT
